Address A,Port A,Address B,Port B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
10.25.22.252:58636,10.25.22.22,443,0,0,1,58,1,58,257739.745994,0.0,
10.25.22.252:58635,10.25.22.22,443,0,0,1,58,1,58,257738.646545,0.0,
10.25.22.252:58635,10.25.22.22,1089,0,0,1,58,1,58,257738.646623,0.0,
10.25.22.252:58636,10.25.22.22,1089,0,0,1,58,1,58,257739.745843,0.0,
10.25.22.252:58635,10.25.22.22,34964,0,0,1,58,1,58,257738.646652,0.0,
10.25.22.252:58635,10.25.22.22,1090,0,0,1,58,1,58,257738.646681,0.0,
10.25.22.252:58635,10.25.22.22,4848,0,0,1,58,1,58,257738.647151,0.0,
10.25.22.252:58635,10.25.22.22,4000,0,0,1,58,1,58,257738.647337,0.0,
10.25.22.252:58635,10.25.22.22,34962,0,0,1,58,1,58,257738.64752,0.0,
10.25.22.252:58635,10.25.22.22,502,0,0,1,58,1,58,257738.647685,0.0,
10.25.22.252:58635,10.25.22.22,102,0,0,1,58,1,58,257738.653573,0.0,
10.25.22.252:58635,10.25.22.22,20000,0,0,1,58,1,58,257738.669417,0.0,
10.25.22.252:58635,10.25.22.22,1091,0,0,1,58,1,58,257738.653736,0.0,
10.25.22.252:58636,10.25.22.22,34963,0,0,1,58,1,58,257739.744079,0.0,
10.25.22.252:58636,10.25.22.22,20000,0,0,1,58,1,58,257739.744294,0.0,
10.25.22.252:58636,10.25.22.22,1091,0,0,1,58,1,58,257739.744466,0.0,
10.25.22.252:58636,10.25.22.22,102,0,0,1,58,1,58,257739.744664,0.0,
10.25.22.252:58636,10.25.22.22,502,0,0,1,58,1,58,257739.744815,0.0,
10.25.22.252:58636,10.25.22.22,34962,0,0,1,58,1,58,257739.744977,0.0,
10.25.22.252:58636,10.25.22.22,4000,0,0,1,58,1,58,257739.745162,0.0,
10.25.22.252:58635,10.25.22.22,34963,0,0,1,58,1,58,257738.6695,0.0,
10.25.22.252:58636,10.25.22.22,4848,0,0,1,58,1,58,257739.745312,0.0,
10.25.22.252:58636,10.25.22.22,1090,0,0,1,58,1,58,257739.745543,0.0,
10.25.22.252:58636,10.25.22.22,34964,0,0,1,58,1,58,257739.745694,0.0,
10.21.22.253:38808,10.21.22.10,4000,1,60,1,58,2,118,153808.290103,0.0001,
10.21.22.253:38808,10.21.22.10,1089,1,60,1,58,2,118,153808.290515,0.0001,
10.21.22.253:38808,10.21.22.10,1091,1,60,1,58,2,118,153808.291081,0.0001,
10.21.22.253:38808,10.21.22.10,34964,1,60,1,58,2,118,153808.288659,0.0001,
10.21.22.253:38808,10.21.22.10,20000,1,60,1,58,2,118,153808.293539,0.0001,
10.21.22.253:38808,10.21.22.10,102,1,60,1,58,2,118,153808.288095,0.0001,
10.21.22.253:38808,10.21.22.10,1090,1,60,1,58,2,118,153808.292869,0.0001,
10.21.22.10:44818,10.21.22.253,38808,1,58,1,60,2,118,153808.292268,0.0001,
10.21.22.253:38808,10.21.22.10,34963,1,60,1,58,2,118,153808.287051,0.0001,
10.21.22.253:38808,10.21.22.10,4848,1,60,1,58,2,118,153808.287496,0.0001,
10.21.22.253:38808,10.21.22.10,34962,1,60,1,58,2,118,153808.294485,0.0002,
10.21.22.253:38808,10.21.22.10,502,1,60,1,58,2,118,153808.291891,0.0003,
10.21.22.253:38808,10.21.22.10,80,1,60,1,58,2,118,153808.282704,0.0004,
10.21.22.253:38808,10.21.22.10,443,1,60,1,58,2,118,153808.28433,0.0004,
10.21.22.253:38808,10.21.22.1,34963,1,60,1,58,2,118,153808.286968,0.0006,
10.21.22.253:38808,10.21.22.1,1090,1,60,1,58,2,118,153808.292733,0.0006,
10.21.22.253:38808,10.21.22.1,34964,1,60,1,58,2,118,153808.288511,0.0006,
10.21.22.253:38808,10.21.22.1,1091,1,60,1,58,2,118,153808.290902,0.0006,
10.21.22.253:38808,10.21.22.1,20000,1,60,1,58,2,118,153808.293465,0.0006,
10.21.22.253:38808,10.21.22.1,502,1,60,1,58,2,118,153808.291801,0.0006,
10.21.22.253:38808,10.21.22.1,4848,1,60,1,58,2,118,153808.287416,0.0006,
10.21.22.253:38808,10.21.22.1,34962,1,60,1,58,2,118,153808.294399,0.0006,
10.21.22.253:38808,10.21.22.1,102,1,60,1,58,2,118,153808.287967,0.0006,
10.21.22.1:44818,10.21.22.253,38808,1,58,1,60,2,118,153808.292193,0.0006,
10.21.22.253:38808,10.21.22.1,4000,1,60,1,58,2,118,153808.29001,0.0006,
10.21.22.253:38808,10.21.22.1,443,1,60,1,58,2,118,153808.285637,0.0008,
10.25.22.252:58635,10.25.22.30,4848,1,60,1,58,2,118,257738.647061,0.0008,
10.25.22.252:58635,10.25.22.30,102,1,60,1,58,2,118,257738.653477,0.0008,
10.21.22.253:38808,10.21.22.1,1089,1,60,1,58,2,118,153808.290434,0.0008,
10.21.22.253:38808,10.21.22.22,4848,1,64,1,58,2,122,153808.287673,0.0009,
10.21.22.253:38808,10.21.22.24,4000,1,64,1,58,2,122,153808.290354,0.0009,
10.21.22.253:38808,10.21.22.23,4000,1,64,1,58,2,122,153808.290271,0.0009,
10.21.22.253:38808,10.21.22.22,34963,1,64,1,58,2,122,153808.28712,0.0009,
10.21.22.253:38808,10.21.22.1,80,1,60,1,58,2,118,153808.283669,0.0009,
10.25.22.252:58635,10.25.22.30,80,1,60,2,112,3,172,257738.642792,0.0009,
10.21.22.253:38808,10.21.22.24,1091,1,64,1,58,2,122,153808.291702,0.0009,
10.25.22.252:58635,10.25.22.30,20000,1,60,1,58,2,118,257738.653816,0.0009,
10.25.22.252:58635,10.25.22.30,34962,1,60,1,58,2,118,257738.647438,0.0009,
10.25.22.252:58635,10.25.22.30,44818,1,60,1,58,2,118,257738.64787,0.0009,
10.25.22.252:58635,10.25.22.30,443,1,60,1,58,2,118,257738.642757,0.0009,
10.21.22.253:38808,10.21.22.22,20000,1,64,1,58,2,122,153808.294039,0.001,
10.21.22.253:38808,10.21.22.22,1089,1,64,1,58,2,122,153808.290676,0.001,
10.21.22.253:38808,10.21.22.23,1089,1,64,1,58,2,122,153808.290752,0.001,
10.21.22.253:38808,10.21.22.24,20000,1,64,1,58,2,122,153808.294251,0.001,
10.21.22.253:38808,10.21.22.24,1089,1,64,1,58,2,122,153808.290828,0.001,
10.21.22.253:38808,10.21.22.22,4000,1,64,1,58,2,122,153808.290174,0.001,
10.21.22.253:38808,10.21.22.22,1091,1,64,1,58,2,122,153808.291455,0.001,
10.21.22.253:38808,10.21.22.23,1091,1,64,1,58,2,122,153808.291559,0.001,
10.21.22.253:38808,10.21.22.23,20000,1,64,1,58,2,122,153808.294145,0.001,
10.21.22.253:38808,10.21.22.24,34962,1,64,1,58,2,122,153808.294796,0.001,
10.21.22.253:38808,10.21.22.23,34963,1,64,1,58,2,122,153808.286768,0.001,
10.21.22.253:38808,10.21.22.24,34963,1,64,1,58,2,122,153808.286887,0.001,
10.21.22.253:38808,10.21.22.22,443,1,64,1,58,2,122,153808.284825,0.001,
10.21.22.253:38808,10.21.22.22,102,1,64,1,58,2,122,153808.288168,0.001,
10.21.22.253:38808,10.21.22.24,443,1,64,1,58,2,122,153808.285456,0.0011,
10.21.22.253:38808,10.21.22.23,34962,1,64,1,58,2,122,153808.294712,0.0011,
10.25.22.252:58635,10.25.22.30,1091,1,60,1,58,2,118,257738.653656,0.0011,
10.25.22.252:58635,10.25.22.30,4000,1,60,1,58,2,118,257738.647251,0.0011,
10.21.22.24:44818,10.21.22.253,38808,1,58,1,64,2,122,153808.292655,0.0011,
10.21.22.253:38808,10.21.22.24,102,1,64,1,58,2,122,153808.287882,0.0011,
10.21.22.23:44818,10.21.22.253,38808,1,58,1,64,2,122,153808.292558,0.0011,
10.21.22.253:38808,10.21.22.22,80,1,64,1,58,2,122,153808.28344,0.0011,
10.21.22.253:38808,10.21.22.23,80,1,64,1,58,2,122,153808.283921,0.0011,
10.21.22.253:38808,10.21.22.24,502,1,64,2,112,3,176,153808.292105,0.0011,
10.21.22.253:38808,10.21.22.24,4848,1,64,1,58,2,122,153808.287336,0.0011,
10.21.22.253:38808,10.21.22.22,502,1,64,2,112,3,176,153808.291957,0.0011,
10.21.22.253:38808,10.21.22.24,80,1,64,1,58,2,122,153808.284117,0.0011,
10.21.22.253:38808,10.21.22.23,4848,1,64,1,58,2,122,153808.287255,0.0011,
10.25.22.252:58635,10.25.22.30,502,1,60,1,58,2,118,257738.647603,0.0012,
10.25.22.252:58635,10.25.22.30,34963,1,60,1,58,2,118,257738.653895,0.0012,
10.21.22.253:38808,10.21.22.23,102,1,64,1,58,2,122,153808.287775,0.0012,
10.21.22.253:38808,10.21.22.24,34964,1,64,1,58,2,122,153808.288433,0.0012,
10.21.22.253:38808,10.21.22.23,502,1,64,2,112,3,176,153808.292031,0.0012,
