Address A,Address B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
192.168.122.31:51309,217.172.170.4:80,363,509862,187,11402,550,521264,11.696351000,71.4792
192.168.122.31:51270,70.32.77.194:80,250,337062,215,16056,465,353118,0.427465000,86.6563
192.168.122.31:51285,217.172.170.4:80,131,175810,137,9751,268,185561,5.174843000,81.8315
192.168.122.31:51357,95.211.205.228:80,141,190602,48,4353,189,194955,132.019429000,68.2711
192.168.122.31:51353,95.211.205.228:80,105,139195,42,4845,147,144040,19.886000000,90.8350
192.168.122.31:51310,23.213.142.27:80,57,77269,33,2350,90,79619,13.836786000,118.0380
192.168.122.31:51347,104.86.110.35:443,47,56445,29,5346,76,61791,16.681104000,70.3029
192.168.122.31:51355,179.60.192.3:443,38,13576,33,13738,71,27314,35.474033000,90.4434
192.168.122.31:51343,104.86.110.35:443,45,52764,24,4215,69,56979,16.147303000,70.8372
192.168.122.31:51332,104.86.110.35:443,43,49808,22,4122,65,53930,15.864009000,2.5285
192.168.122.31:51333,104.86.110.35:443,38,44893,19,3079,57,47972,15.864208000,2.3532
192.168.122.31:51350,104.86.110.35:443,35,39942,17,2160,52,42102,17.235546000,69.7487
192.168.122.31:51376,69.172.216.55:80,32,30259,14,1328,46,31587,243.436854000,3.9937
192.168.122.31:51349,104.86.110.35:443,24,24575,17,2991,41,27566,17.235264000,1.0982
192.168.122.31:51317,179.60.192.3:443,21,17843,18,2137,39,19980,14.638563000,72.3483
192.168.122.31:51328,104.86.110.35:443,20,18316,16,3746,36,22062,15.863084000,2.4263
192.168.122.31:51335,80.239.236.112:443,22,20974,13,2102,35,23076,15.955714000,71.0492
192.168.122.31:51371,207.244.67.72:80,16,19340,17,1920,33,21260,238.808213000,4.8430
192.168.122.31:51331,104.86.110.35:443,14,11144,16,3730,30,14874,15.863806000,2.3666
192.168.122.31:51339,77.67.11.98:443,14,9534,12,2042,26,11576,16.019139000,70.9720
192.168.122.31:51340,77.67.11.98:443,13,8856,11,1982,24,10838,16.019450000,70.9739
192.168.122.31:51327,2.16.162.8:443,11,5084,11,974,22,6058,15.827024000,71.1541
192.168.122.31:51334,80.239.236.112:443,10,4977,12,1035,22,6012,15.955470000,71.0507
192.168.122.31:51348,104.86.110.35:443,10,4827,12,2664,22,7491,16.681385000,70.3026
192.168.122.31:51326,2.16.162.8:443,11,7036,10,1921,21,8957,15.826776000,71.1570
192.168.122.31:51336,77.67.11.98:443,10,4977,11,975,21,5952,16.015843000,70.9710
192.168.122.31:51344,104.86.110.35:443,11,6876,10,1697,21,8573,16.147555000,70.8369
192.168.122.31:51318,50.31.164.174:443,9,3346,11,2064,20,5410,15.108874000,71.9776
192.168.122.31:51329,104.86.110.35:443,11,5031,9,849,20,5880,15.863383000,71.1182
192.168.122.31:51342,77.67.11.98:443,10,4977,10,915,20,5892,16.019932000,70.9669
192.168.122.31:51330,104.86.110.35:443,10,4977,8,789,18,5766,15.863601000,2.4688
192.168.122.31:51319,50.31.164.174:443,7,2961,9,1049,16,4010,15.112024000,71.9739
192.168.122.31:51354,179.60.192.3:443,8,3675,8,760,16,4435,35.473763000,161.4066
192.168.122.31:51382,74.125.140.101:80,11,11893,5,709,16,12602,244.912490000,2.5198
192.168.122.31:51356,207.182.157.154:80,6,499,6,1454,12,1953,40.367840000,1.4268
192.168.122.31:51280,217.172.170.4:80,5,448,6,793,11,1241,5.171886000,81.8348
192.168.122.31:51337,195.22.26.252:80,5,616,6,879,11,1495,16.016473000,1.8026
192.168.122.31:51358,185.82.216.236:80,5,631,6,596,11,1227,213.346760000,5.6468
192.168.122.31:51359,37.48.110.164:80,5,626,6,601,11,1227,213.361941000,4.6734
192.168.122.31:51364,104.193.252.232:80,5,628,6,599,11,1227,226.666005000,5.7103
192.168.122.31:51365,37.130.226.157:80,5,627,6,598,11,1225,226.956108000,5.0203
192.168.122.31:51373,173.239.42.213:80,6,5181,5,633,11,5814,239.636428000,0.4529
192.168.122.31:51351,195.22.26.248:80,5,1038,5,541,10,1579,17.925114000,0.6142
192.168.122.31:51352,195.22.26.231:80,5,545,5,663,10,1208,18.548763000,0.7225
192.168.122.31:51360,104.193.252.232:80,5,634,5,539,10,1173,213.362745000,7.9721
192.168.122.31:51361,85.25.41.103:80,5,626,5,536,10,1162,213.363005000,8.1840
192.168.122.31:51362,37.130.226.157:80,5,633,5,538,10,1171,213.363244000,5.2150
192.168.122.31:51363,185.82.216.236:80,5,622,5,536,10,1158,224.686597000,9.9565
192.168.122.31:51366,37.48.110.164:80,5,630,5,541,10,1171,232.785550000,6.9955
192.168.122.31:51367,85.25.41.103:80,5,624,5,536,10,1160,232.849589000,6.5060
192.168.122.31:51368,37.130.226.157:80,5,468,5,621,10,1089,238.226301000,0.7310
192.168.122.31:51369,37.48.110.164:80,5,570,5,614,10,1184,238.289271000,0.6680
192.168.122.31:51370,185.82.216.236:80,5,468,5,619,10,1087,238.328565000,5.2689
192.168.122.31:51375,85.25.41.103:80,5,502,5,614,10,1116,243.301006000,2.4115
192.168.122.31:51377,88.214.241.193:80,4,1195,5,632,9,1827,243.756395000,3.5376
192.168.122.31:51378,91.109.242.44:80,4,950,4,540,8,1490,243.825492000,3.4529
192.168.122.31:51372,173.239.42.219:80,3,367,4,543,7,910,238.943649000,0.4637
192.168.122.31:51374,173.239.42.219:80,3,292,4,543,7,835,243.221843000,0.4435
192.168.122.31:51381,69.172.216.55:80,2,120,3,1424,5,1544,244.898934000,2.5331
192.168.122.31:51379,104.193.252.232:80,1,66,3,502,4,568,244.469325000,2.8250
192.168.122.31:51380,104.193.252.232:80,1,66,3,419,4,485,244.576084000,2.7176
192.168.122.31:51383,37.130.226.157:80,1,66,3,495,4,561,245.200453000,2.0927
192.168.122.31:51384,37.130.226.157:80,1,66,3,418,4,484,245.264862000,2.0286
192.168.122.31:51385,69.172.216.58:80,1,66,3,595,4,661,245.830543000,1.6020
192.168.122.31:51265,173.194.45.32:443,1,54,2,120,3,174,86.854491000,0.1498
192.168.122.31:51266,173.194.45.32:443,1,54,2,120,3,174,86.854649000,0.1500
192.168.122.31:51264,216.58.211.68:443,1,54,2,120,3,174,86.854819000,0.1493
192.168.122.31:51263,216.58.211.68:443,1,54,2,120,3,174,86.854976000,0.1525
192.168.122.31:51262,173.194.45.47:443,1,54,2,120,3,174,86.855132000,0.1494
192.168.122.31:51261,173.194.45.47:443,1,54,2,120,3,174,86.855703000,0.1485
192.168.122.31:51260,173.194.45.63:443,1,54,2,120,3,174,86.855878000,0.1507
192.168.122.31:51259,173.194.45.63:443,1,54,2,120,3,174,86.856059000,0.1516
192.168.122.31:51253,173.194.45.55:80,1,54,2,120,3,174,86.856204000,0.1503
192.168.122.31:51268,173.194.45.55:443,1,54,2,120,3,174,86.856384000,0.1512
192.168.122.31:51267,173.194.45.55:443,1,54,2,120,3,174,86.856566000,0.1502
192.168.122.31:51269,173.194.45.55:443,1,54,2,120,3,174,86.856746000,0.1510
192.168.122.31:51250,74.125.195.139:80,1,54,2,120,3,174,86.856893000,0.1479
192.168.122.31:51251,74.125.195.139:80,1,54,2,120,3,174,86.857031000,0.1497
192.168.122.31:51249,191.234.5.80:80,2,108,1,60,3,168,86.857167000,0.1453
192.168.122.31:51386,69.172.216.111:80,0,0,1,66,1,66,247.302499000,0.0000
192.168.122.31:51387,69.172.216.111:80,0,0,1,66,1,66,247.316077000,0.0000
