source,target,value
192.168.122.31:51270,70.32.77.194:80,46.5
192.168.122.31:51280,217.172.170.4:80,1.1
192.168.122.31:51285,217.172.170.4:80,26.8
192.168.122.31:51309,217.172.170.4:80,55.0
192.168.122.31:51310,23.213.142.27:80,9.0
192.168.122.31:51317,179.60.192.3:443,3.9
192.168.122.31:51318,50.31.164.174:443,2.0
192.168.122.31:51319,50.31.164.174:443,1.6
192.168.122.31:51326,2.16.162.8:443,2.1
192.168.122.31:51327,2.16.162.8:443,2.2
192.168.122.31:51328,104.86.110.35:443,3.6
192.168.122.31:51329,104.86.110.35:443,2.0
192.168.122.31:51330,104.86.110.35:443,1.8
192.168.122.31:51331,104.86.110.35:443,3.0
192.168.122.31:51332,104.86.110.35:443,6.5
192.168.122.31:51333,104.86.110.35:443,5.7
192.168.122.31:51334,80.239.236.112:443,2.2
192.168.122.31:51335,80.239.236.112:443,3.5
192.168.122.31:51336,77.67.11.98:443,2.1
192.168.122.31:51337,195.22.26.252:80,1.1
192.168.122.31:51339,77.67.11.98:443,2.6
192.168.122.31:51340,77.67.11.98:443,2.4
192.168.122.31:51342,77.67.11.98:443,2.0
192.168.122.31:51343,104.86.110.35:443,6.9
192.168.122.31:51344,104.86.110.35:443,2.1
192.168.122.31:51347,104.86.110.35:443,7.6
192.168.122.31:51348,104.86.110.35:443,2.2
192.168.122.31:51349,104.86.110.35:443,4.1
192.168.122.31:51350,104.86.110.35:443,5.2
192.168.122.31:51351,195.22.26.248:80,1.0
192.168.122.31:51352,195.22.26.231:80,1.0
192.168.122.31:51353,95.211.205.228:80,14.7
192.168.122.31:51354,179.60.192.3:443,1.6
192.168.122.31:51355,179.60.192.3:443,7.1
192.168.122.31:51356,207.182.157.154:80,1.2
192.168.122.31:51265,173.194.45.32:443,0.3
192.168.122.31:51266,173.194.45.32:443,0.3
192.168.122.31:51264,216.58.211.68:443,0.3
192.168.122.31:51263,216.58.211.68:443,0.3
192.168.122.31:51262,173.194.45.47:443,0.3
192.168.122.31:51261,173.194.45.47:443,0.3
192.168.122.31:51260,173.194.45.63:443,0.3
192.168.122.31:51259,173.194.45.63:443,0.3
192.168.122.31:51253,173.194.45.55:80,0.3
192.168.122.31:51268,173.194.45.55:443,0.3
192.168.122.31:51267,173.194.45.55:443,0.3
192.168.122.31:51269,173.194.45.55:443,0.3
192.168.122.31:51250,74.125.195.139:80,0.3
192.168.122.31:51251,74.125.195.139:80,0.3
192.168.122.31:51249,191.234.5.80:80,0.3
192.168.122.31:51357,95.211.205.228:80,18.9
192.168.122.31:51358,185.82.216.236:80,1.1
192.168.122.31:51359,37.48.110.164:80,1.1
192.168.122.31:51360,104.193.252.232:80,1.0
192.168.122.31:51361,85.25.41.103:80,1.0
192.168.122.31:51362,37.130.226.157:80,1.0
192.168.122.31:51363,185.82.216.236:80,1.0
192.168.122.31:51364,104.193.252.232:80,1.1
192.168.122.31:51365,37.130.226.157:80,1.1
192.168.122.31:51366,37.48.110.164:80,1.0
192.168.122.31:51367,85.25.41.103:80,1.0
192.168.122.31:51368,37.130.226.157:80,1.0
192.168.122.31:51369,37.48.110.164:80,1.0
192.168.122.31:51370,185.82.216.236:80,1.0
192.168.122.31:51371,207.244.67.72:80,3.3
192.168.122.31:51372,173.239.42.219:80,0.7
192.168.122.31:51373,173.239.42.213:80,1.1
192.168.122.31:51374,173.239.42.219:80,0.7
192.168.122.31:51375,85.25.41.103:80,1.0
192.168.122.31:51376,69.172.216.55:80,4.6
192.168.122.31:51377,88.214.241.193:80,0.9
192.168.122.31:51378,91.109.242.44:80,0.8
192.168.122.31:51379,104.193.252.232:80,0.4
192.168.122.31:51380,104.193.252.232:80,0.4
192.168.122.31:51381,69.172.216.55:80,0.5
192.168.122.31:51382,74.125.140.101:80,1.6
192.168.122.31:51383,37.130.226.157:80,0.4
192.168.122.31:51384,37.130.226.157:80,0.4
192.168.122.31:51385,69.172.216.58:80,0.4
192.168.122.31:51386,69.172.216.111:80,0.1
192.168.122.31:51387,69.172.216.111:80,0.1
