Address A,Address B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
192.168.122.31:62020,192.168.122.2:53,3,360,3,246,6,606,244.944665000,2.4858
192.168.122.31:52288,192.168.122.2:53,1,88,2,144,3,232,212.192830000,1.1479
192.168.122.31:63981,192.168.122.2:53,1,93,2,154,3,247,212.193149000,1.1675
192.168.122.31:64586,192.168.122.2:53,1,91,2,150,3,241,212.193502000,1.1671
192.168.122.31:63825,192.168.122.2:53,1,88,2,144,3,232,212.193912000,1.1668
192.168.122.31:52555,192.168.122.2:53,1,90,2,148,3,238,212.194345000,1.1664
192.168.122.31:49247,192.168.122.2:53,1,96,1,80,2,176,0.000000000,0.4260
192.168.122.31:58336,192.168.122.2:53,1,107,1,91,2,198,4.305772000,0.8600
192.168.122.31:62145,192.168.122.2:53,1,171,1,77,2,248,13.686624000,0.1492
192.168.122.31:64213,192.168.122.2:53,1,149,1,76,2,225,14.557624000,0.1399
192.168.122.31:63904,192.168.122.2:53,1,155,1,82,2,237,14.698299000,0.1398
192.168.122.31:51629,192.168.122.2:53,1,154,1,81,2,235,14.838802000,0.2015
192.168.122.31:51681,192.168.122.2:53,1,155,1,75,2,230,14.957372000,0.1429
192.168.122.31:60793,192.168.122.2:53,1,149,1,76,2,225,15.040859000,0.1390
192.168.122.31:64774,192.168.122.2:53,1,149,1,76,2,225,15.181236000,0.1542
192.168.122.31:56417,192.168.122.2:53,1,152,1,79,2,231,15.337551000,0.1635
192.168.122.31:61547,192.168.122.2:53,1,142,1,78,2,220,15.501910000,0.1601
192.168.122.31:51991,192.168.122.2:53,1,142,1,78,2,220,15.864717000,0.1488
192.168.122.31:64242,192.168.122.2:53,1,89,1,73,2,162,17.769645000,0.1501
192.168.122.31:58604,192.168.122.2:53,1,147,1,83,2,230,18.335085000,0.2002
192.168.122.31:65213,192.168.122.2:53,1,155,1,82,2,237,19.098159000,0.1530
192.168.122.31:62031,192.168.122.2:53,1,149,1,76,2,225,19.257221000,0.1420
192.168.122.31:49185,192.168.122.2:53,1,154,1,81,2,235,19.406859000,0.1877
192.168.122.31:61685,192.168.122.2:53,1,95,1,79,2,174,19.595131000,0.1407
192.168.122.31:56543,192.168.122.2:53,1,95,1,79,2,174,19.746182000,0.1380
192.168.122.31:58449,192.168.122.2:53,1,95,1,79,2,174,40.211496000,0.1438
192.168.122.31:53477,192.168.122.2:53,1,127,1,75,2,202,238.794633000,0.1451
192.168.122.31:62413,192.168.122.2:53,1,125,1,76,2,201,239.471965000,0.1629
192.168.122.31:61127,192.168.122.2:53,1,97,1,81,2,178,243.668474000,0.1475
192.168.122.31:61838,192.168.122.2:53,1,124,1,86,2,210,244.916661000,0.9131
