source,target,value
192.168.122.31:49247,192.168.122.2:53,0.2
192.168.122.31:58336,192.168.122.2:53,0.2
192.168.122.31:62145,192.168.122.2:53,0.2
192.168.122.31:64213,192.168.122.2:53,0.2
192.168.122.31:63904,192.168.122.2:53,0.2
192.168.122.31:51629,192.168.122.2:53,0.2
192.168.122.31:51681,192.168.122.2:53,0.2
192.168.122.31:60793,192.168.122.2:53,0.2
192.168.122.31:64774,192.168.122.2:53,0.2
192.168.122.31:56417,192.168.122.2:53,0.2
192.168.122.31:61547,192.168.122.2:53,0.2
192.168.122.31:51991,192.168.122.2:53,0.2
192.168.122.31:64242,192.168.122.2:53,0.2
192.168.122.31:58604,192.168.122.2:53,0.2
192.168.122.31:65213,192.168.122.2:53,0.2
192.168.122.31:62031,192.168.122.2:53,0.2
192.168.122.31:49185,192.168.122.2:53,0.2
192.168.122.31:61685,192.168.122.2:53,0.2
192.168.122.31:56543,192.168.122.2:53,0.2
192.168.122.31:58449,192.168.122.2:53,0.2
192.168.122.31:52288,192.168.122.2:53,0.3
192.168.122.31:63981,192.168.122.2:53,0.3
192.168.122.31:64586,192.168.122.2:53,0.3
192.168.122.31:63825,192.168.122.2:53,0.3
192.168.122.31:52555,192.168.122.2:53,0.3
192.168.122.31:53477,192.168.122.2:53,0.2
192.168.122.31:62413,192.168.122.2:53,0.2
192.168.122.31:61127,192.168.122.2:53,0.2
192.168.122.31:61838,192.168.122.2:53,0.2
192.168.122.31:62020,192.168.122.2:53,0.6
