frame.number	ip.src	udp.srcport	ip.dst	udp.dstport	frame.protocols	ip.proto
1	192.168.122.31	49247	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
2	192.168.122.2	53	192.168.122.31	49247	eth:ethertype:ip:udp:dns	17
21	192.168.122.31	58336	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
22	192.168.122.2	53	192.168.122.31	58336	eth:ethertype:ip:udp:dns	17
1283	192.168.122.31	62145	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1284	192.168.122.2	53	192.168.122.31	62145	eth:ethertype:ip:udp:dns	17
1373	192.168.122.31	64213	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1375	192.168.122.2	53	192.168.122.31	64213	eth:ethertype:ip:udp:dns	17
1376	192.168.122.31	63904	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1380	192.168.122.2	53	192.168.122.31	63904	eth:ethertype:ip:udp:dns	17
1381	192.168.122.31	51629	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1383	192.168.122.31	51681	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1392	192.168.122.2	53	192.168.122.31	51629	eth:ethertype:ip:udp:dns	17
1393	192.168.122.31	60793	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1394	192.168.122.2	53	192.168.122.31	51681	eth:ethertype:ip:udp:dns	17
1400	192.168.122.2	53	192.168.122.31	60793	eth:ethertype:ip:udp:dns	17
1401	192.168.122.31	64774	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1402	192.168.122.2	53	192.168.122.31	64774	eth:ethertype:ip:udp:dns	17
1406	192.168.122.31	56417	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1411	192.168.122.2	53	192.168.122.31	56417	eth:ethertype:ip:udp:dns	17
1412	192.168.122.31	61547	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1432	192.168.122.2	53	192.168.122.31	61547	eth:ethertype:ip:udp:dns	17
1452	192.168.122.31	51991	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1465	192.168.122.2	53	192.168.122.31	51991	eth:ethertype:ip:udp:dns	17
1703	192.168.122.31	64242	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1762	192.168.122.2	53	192.168.122.31	64242	eth:ethertype:ip:udp:dns	17
1928	192.168.122.31	58604	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1932	192.168.122.2	53	192.168.122.31	58604	eth:ethertype:ip:udp:dns	17
1943	192.168.122.31	65213	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1944	192.168.122.2	53	192.168.122.31	65213	eth:ethertype:ip:udp:dns	17
1945	192.168.122.31	62031	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1953	192.168.122.2	53	192.168.122.31	62031	eth:ethertype:ip:udp:dns	17
1954	192.168.122.31	49185	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1965	192.168.122.2	53	192.168.122.31	49185	eth:ethertype:ip:udp:dns	17
1966	192.168.122.31	61685	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
1996	192.168.122.2	53	192.168.122.31	61685	eth:ethertype:ip:udp:dns	17
1997	192.168.122.31	56543	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
2031	192.168.122.2	53	192.168.122.31	56543	eth:ethertype:ip:udp:dns	17
2317	192.168.122.31	58449	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
2318	192.168.122.2	53	192.168.122.31	58449	eth:ethertype:ip:udp:dns	17
2709	192.168.122.31	52288	192.168.122.2	53	eth:ethertype:ip:udp:dns	17
